,country,date,cases,population,density,size
5917,Sweden,2020-03-03,21,10099.27,24.6119559389774,410340.0000000006
5918,Sweden,2020-03-04,35,10099.27,24.6119559389774,410340.0000000006
5919,Sweden,2020-03-05,94,10099.27,24.6119559389774,410340.0000000006
5920,Sweden,2020-03-06,101,10099.27,24.6119559389774,410340.0000000006
5921,Sweden,2020-03-07,161,10099.27,24.6119559389774,410340.0000000006
5922,Sweden,2020-03-08,203,10099.27,24.6119559389774,410340.0000000006
5923,Sweden,2020-03-09,248,10099.27,24.6119559389774,410340.0000000006
5924,Sweden,2020-03-10,355,10099.27,24.6119559389774,410340.0000000006
5925,Sweden,2020-03-11,500,10099.27,24.6119559389774,410340.0000000006
5926,Sweden,2020-03-12,599,10099.27,24.6119559389774,410340.0000000006
5927,Sweden,2020-03-13,814,10099.27,24.6119559389774,410340.0000000006
5928,Switzerland,2020-01-22,0,8654.618,219.01553800992,39516.00000000001
5929,Switzerland,2020-01-23,0,8654.618,219.01553800992,39516.00000000001
5930,Switzerland,2020-01-24,0,8654.618,219.01553800992,39516.00000000001
5931,Switzerland,2020-01-25,0,8654.618,219.01553800992,39516.00000000001
5932,Switzerland,2020-01-26,0,8654.618,219.01553800992,39516.00000000001
5933,Switzerland,2020-01-27,0,8654.618,219.01553800992,39516.00000000001
5934,Switzerland,2020-01-28,0,8654.618,219.01553800992,39516.00000000001
5935,Switzerland,2020-01-29,0,8654.618,219.01553800992,39516.00000000001
5936,Switzerland,2020-01-30,0,8654.618,219.01553800992,39516.00000000001
5937,Switzerland,2020-01-31,0,8654.618,219.01553800992,39516.00000000001
5938,Switzerland,2020-02-01,0,8654.618,219.01553800992,39516.00000000001
5939,Switzerland,2020-02-02,0,8654.618,219.01553800992,39516.00000000001
5940,Switzerland,2020-02-03,0,8654.618,219.01553800992,39516.00000000001
5941,Switzerland,2020-02-04,0,8654.618,219.01553800992,39516.00000000001
5942,Switzerland,2020-02-05,0,8654.618,219.01553800992,39516.00000000001
5943,Switzerland,2020-02-06,0,8654.618,219.01553800992,39516.00000000001
5944,Switzerland,2020-02-07,0,8654.618,219.01553800992,39516.00000000001
5945,Switzerland,2020-02-08,0,8654.618,219.01553800992,39516.00000000001
5946,Switzerland,2020-02-09,0,8654.618,219.01553800992,39516.00000000001
5947,Switzerland,2020-02-10,0,8654.618,219.01553800992,39516.00000000001
5948,Switzerland,2020-02-11,0,8654.618,219.01553800992,39516.00000000001
5949,Switzerland,2020-02-12,0,8654.618,219.01553800992,39516.00000000001
5950,Switzerland,2020-02-13,0,8654.618,219.01553800992,39516.00000000001
5951,Switzerland,2020-02-14,0,8654.618,219.01553800992,39516.00000000001
5952,Switzerland,2020-02-15,0,8654.618,219.01553800992,39516.00000000001
5953,Switzerland,2020-02-16,0,8654.618,219.01553800992,39516.00000000001
5954,Switzerland,2020-02-17,0,8654.618,219.01553800992,39516.00000000001
5955,Switzerland,2020-02-18,0,8654.618,219.01553800992,39516.00000000001
5956,Switzerland,2020-02-19,0,8654.618,219.01553800992,39516.00000000001
5957,Switzerland,2020-02-20,0,8654.618,219.01553800992,39516.00000000001
5958,Switzerland,2020-02-21,0,8654.618,219.01553800992,39516.00000000001
5959,Switzerland,2020-02-22,0,8654.618,219.01553800992,39516.00000000001
5960,Switzerland,2020-02-23,0,8654.618,219.01553800992,39516.00000000001
5961,Switzerland,2020-02-24,0,8654.618,219.01553800992,39516.00000000001
5962,Switzerland,2020-02-25,1,8654.618,219.01553800992,39516.00000000001
5963,Switzerland,2020-02-26,1,8654.618,219.01553800992,39516.00000000001
5964,Switzerland,2020-02-27,8,8654.618,219.01553800992,39516.00000000001
5965,Switzerland,2020-02-28,8,8654.618,219.01553800992,39516.00000000001
5966,Switzerland,2020-02-29,18,8654.618,219.01553800992,39516.00000000001
5967,Switzerland,2020-03-01,27,8654.618,219.01553800992,39516.00000000001
5968,Switzerland,2020-03-02,42,8654.618,219.01553800992,39516.00000000001
5969,Switzerland,2020-03-03,56,8654.618,219.01553800992,39516.00000000001
5970,Switzerland,2020-03-04,90,8654.618,219.01553800992,39516.00000000001
5971,Switzerland,2020-03-05,114,8654.618,219.01553800992,39516.00000000001
5972,Switzerland,2020-03-06,214,8654.618,219.01553800992,39516.00000000001
5973,Switzerland,2020-03-07,268,8654.618,219.01553800992,39516.00000000001
5974,Switzerland,2020-03-08,337,8654.618,219.01553800992,39516.00000000001
5975,Switzerland,2020-03-09,374,8654.618,219.01553800992,39516.00000000001
5976,Switzerland,2020-03-10,491,8654.618,219.01553800992,39516.00000000001
5977,Switzerland,2020-03-11,652,8654.618,219.01553800992,39516.00000000001
5978,Switzerland,2020-03-12,652,8654.618,219.01553800992,39516.00000000001
5979,Switzerland,2020-03-13,1139,8654.618,219.01553800992,39516.00000000001
5980,Taiwan*,2020-01-22,1,,,
5981,Taiwan*,2020-01-23,1,,,
5982,Taiwan*,2020-01-24,3,,,
5983,Taiwan*,2020-01-25,3,,,
5984,Taiwan*,2020-01-26,4,,,
5985,Taiwan*,2020-01-27,5,,,
5986,Taiwan*,2020-01-28,8,,,
5987,Taiwan*,2020-01-29,8,,,
5988,Taiwan*,2020-01-30,9,,,
5989,Taiwan*,2020-01-31,10,,,
5990,Taiwan*,2020-02-01,10,,,
5991,Taiwan*,2020-02-02,10,,,
5992,Taiwan*,2020-02-03,10,,,
5993,Taiwan*,2020-02-04,11,,,
5994,Taiwan*,2020-02-05,11,,,
5995,Taiwan*,2020-02-06,16,,,
5996,Taiwan*,2020-02-07,16,,,
5997,Taiwan*,2020-02-08,17,,,
5998,Taiwan*,2020-02-09,18,,,
5999,Taiwan*,2020-02-10,18,,,
6000,Taiwan*,2020-02-11,18,,,
6001,Taiwan*,2020-02-12,18,,,
6002,Taiwan*,2020-02-13,18,,,
6003,Taiwan*,2020-02-14,18,,,
6004,Taiwan*,2020-02-15,18,,,
6005,Taiwan*,2020-02-16,20,,,
6006,Taiwan*,2020-02-17,22,,,
6007,Taiwan*,2020-02-18,22,,,
6008,Taiwan*,2020-02-19,23,,,
6009,Taiwan*,2020-02-20,24,,,
